id,webpage,fingerprint
1475,mts.ru,B7:47:94:E4:D4:88:60:15:18:0B:39:3E:77:3B:8C:2E:D9:A3:5D:6B:AD:FF:03:CD:11:F5:96:3D:90:CB:86:9F
1480,inc.com,92:54:62:FD:F2:E5:A6:F6:6F:3C:9B:C0:E0:EA:7E:66:2F:4D:90:AF:9B:1A:F0:A3:B1:AE:70:F9:4C:E5:93:87
1484,4gamer.net,F8:AD:EC:C8:C9:AA:FD:C4:50:30:54:10:15:C0:0F:DE:7E:F4:1D:A5:28:B9:F4:98:8C:93:C9:99:35:AA:8E:C3
1505,last.fm,BC:1B:F7:35:44:91:C2:8B:82:C5:04:C5:AD:D4:F7:A2:90:6D:9B:50:2C:0D:B1:02:01:57:90:DD:C0:60:12:D1
1514,freelotto.com,13:8A:EC:FB:E1:4C:EB:CE:E3:85:75:57:E5:BF:03:64:30:E2:95:1E:18:5D:22:79:B6:12:29:DB:B6:EB:4F:1C
1518,gazeta.ru,66:7E:F8:21:47:1D:D3:F1:90:7A:0E:CB:EA:2B:39:9B:58:6C:45:BE:7B:9F:96:7B:6E:8A:D5:1A:2D:60:11:7B
1521,citibankonline.com,51:F4:42:AF:9C:77:CE:2A:AF:28:23:48:3B:B4:C9:86:AE:51:77:4A:F4:1E:43:A1:05:9D:0A:E9:62:30:A2:CB
1532,bmi.ir,09:0F:D9:FC:17:3E:4A:70:58:71:9B:AB:27:25:CC:C1:B6:E5:34:2F:8F:91:10:06:A3:75:C4:A3:F5:63:06:A9
1534,arcot.com,72:30:25:A9:DE:C7:B2:6E:81:35:72:3A:C5:54:90:9F:F6:BD:78:7E:F8:6F:2A:CF:28:35:0F:3C:22:EB:DE:13
1541,linternaute.com,5F:83:CC:6C:C5:9C:D2:BC:93:7D:D1:D1:34:5D:12:45:A9:E1:04:D0:9F:54:2B:A9:A4:38:22:FE:56:CF:D3:61
1547,cdc.gov,BA:48:C7:34:01:35:61:9E:D1:F7:83:CA:51:B1:C0:58:77:E6:D0:A1:A0:31:2B:A8:EE:FE:5F:71:21:65:83:68
1555,dpreview.com,6C:37:4E:88:62:5D:AB:5B:DD:B7:71:E5:3C:F2:A1:68:5C:71:49:48:C2:D9:65:9D:48:AE:4D:14:36:00:27:F3
1561,vesti.ru,EA:FE:0D:7A:1F:51:C3:34:C8:5E:A2:66:E9:BB:20:1F:22:17:F7:A7:E1:6C:22:13:6D:9A:E6:11:DF:AC:1A:91
1564,today.com,2B:D6:63:ED:99:B9:9B:1C:CC:F9:D0:93:BA:E0:1E:C4:AD:79:FE:0C:42:E8:0A:52:DC:BA:A5:13:1A:0D:D4:1C
1569,591.com.tw,CC:DE:05:6D:D5:D5:EA:6B:A7:89:40:12:93:36:BB:B4:41:98:ED:99:42:E9:9B:03:0D:83:D7:11:E0:82:62:99
1570,fbsbx.com,A6:26:B1:54:CC:65:63:41:81:25:0B:81:0B:1B:D4:C8:9E:C2:77:CE:A0:8D:78:5E:EB:E7:E7:68:BD:A7:BB:00
1588,autotrader.co.uk,D9:17:A7:3F:7D:FE:7E:F1:EC:F1:26:A4:C6:F8:3B:CD:CB:86:36:ED:AB:CD:34:4B:E3:8B:D1:6C:12:15:34:06
1598,popundertotal.com,55:BB:AD:EB:DC:67:94:1C:04:8C:3F:F2:5C:29:D2:5C:40:20:B3:ED:F9:F4:52:41:08:B6:1C:97:1C:39:6C:8D
1605,patheos.com,D5:80:BD:48:35:84:98:C9:0F:4A:B8:97:E1:F0:A9:86:2A:37:4A:36:8D:C7:5E:C1:C5:59:A9:BB:87:EE:7B:CF
1623,macrumors.com,6C:4F:89:B7:45:E9:06:0B:F0:B4:E0:58:21:E5:67:DC:3B:FE:04:90:0A:65:57:AC:FA:3A:E9:46:D4:49:38:3E
1638,ibtimes.co.uk,0B:21:75:C3:6B:60:85:F6:2E:A2:DD:CF:88:29:D3:66:F5:AF:57:38:3D:62:19:4E:BC:34:7D:AF:5F:E4:6F:77
1676,1111.com.tw,53:BF:BE:39:D6:48:24:70:C8:8B:DF:0D:28:1B:44:34:80:A7:BD:58:9F:21:7E:A5:61:E2:8E:82:1C:AC:89:DB
1688,iciba.com,AA:81:10:38:76:F2:7D:33:E1:0C:31:3A:91:3D:A3:AC:1C:2A:7D:31:F1:D7:48:DD:B2:3D:EA:31:9B:E0:4E:BF
1704,pcgamer.com,53:C4:C9:5D:F6:20:AE:4C:74:EB:49:9C:28:80:34:0B:17:EA:77:50:D6:C9:49:7B:5A:85:BF:D3:1E:1D:00:34
1708,shufoo.net,39:73:AF:F6:09:8E:D3:37:C7:72:2B:19:4B:BE:A6:F4:B1:7C:1A:80:DB:FC:17:50:39:82:03:AD:54:D4:19:6B
1717,peyvandha.ir,F7:31:3F:41:AB:24:3F:F5:E0:C6:92:B3:F6:92:0A:D0:1E:FD:84:46:3C:76:4A:22:21:F4:CC:96:44:4A:00:1E
1760,consumerreports.org,19:24:C7:D6:AC:26:34:78:52:A4:EF:92:4E:D9:EF:17:16:06:0B:E6:A5:7B:10:0C:1E:29:FD:33:43:1B:1E:1F
1782,docusign.net,58:6F:45:82:FB:CA:95:2D:B2:64:0F:D0:74:C5:B0:53:71:D1:5A:18:92:25:F3:35:54:76:20:E4:31:86:A5:F0
1783,huya.com,4A:1F:01:9C:FC:11:AC:E3:94:F4:66:AF:95:62:F2:56:87:A4:F0:E2:92:E7:E8:BF:4C:9F:B2:5D:BD:4A:57:21
1790,ithome.com,AD:F6:34:FB:D1:54:31:9E:51:66:85:78:73:C5:3E:DB:63:59:BF:1C:2F:41:00:11:8F:F8:93:FB:53:D3:0C:A7
1798,leadzupc.com,0C:1A:4D:29:1E:BD:27:49:F1:80:A3:CB:27:09:D1:DC:C6:40:18:DC:03:1F:34:14:C4:3C:36:97:22:64:0D:9A
1818,roasted.com,CA:5C:57:BE:E6:AB:21:C0:55:DC:DB:E8:AD:25:FE:EF:6D:17:64:A9:2E:2A:AA:AD:B5:D5:5F:B6:67:C3:F8:AC
1846,fromdoctopdf.com,E3:DA:9B:4E:4C:9A:02:55:CA:81:C1:0D:83:A5:42:AC:D3:3C:CE:7A:A6:92:74:C4:EA:84:0B:22:A8:49:F9:D4
1860,mixplugin.com,D5:80:BD:48:35:84:98:C9:0F:4A:B8:97:E1:F0:A9:86:2A:37:4A:36:8D:C7:5E:C1:C5:59:A9:BB:87:EE:7B:CF
1881,safefinder.com,38:14:A4:A5:F6:61:B7:C8:D6:87:35:B8:97:FA:D3:23:3E:A6:A3:C8:48:B5:77:D8:F8:63:CF:5F:17:0B:27:62
1889,ragestream.com,54:10:EE:A0:22:36:19:CB:F5:DD:81:F1:BA:CF:D6:87:5F:91:FB:28:ED:B3:98:80:41:52:34:B0:E5:61:42:54
1897,thesun.co.uk,D4:78:92:68:58:91:DF:56:B1:85:8B:26:31:1B:C7:B1:76:B4:78:93:EA:C0:5F:C3:03:7A:E1:C0:09:64:9D:B6
1902,resultados-futbol.com,4D:36:C6:FC:C8:C3:7B:99:F7:F7:C2:38:6A:9B:3F:CE:3D:EE:A1:24:CB:D9:47:03:5E:98:95:F2:45:DB:5B:B0
1925,gumtree.co.za,AD:A3:9E:46:71:31:C9:62:FB:48:90:D8:27:42:BE:B3:05:5A:6E:D7:B0:75:17:F9:C0:DF:F5:BD:C5:99:6C:0A
